Ticker,Date,Cleaned_Headlines
TSM,2024-11-14,"['third point 13f shows decreased stake in pg&e corp by 7% from 53,750,000 to 49,750,000 shares; amazon by 27% from 5,100,000 to 3,700,000 shares; danaher corp by 5% from 2,050,000 to 1,950,000 shares; vistra corp by 29% from 4,470,000 to 3,175,000 shares; microsoft by 45% from 1,580,000 to 870,000 shares; meta platforms by 50% from 1,100,000 to 545,000 shares; tsm by 12% from 2,025,000 to 1,780,000 shares; apple by 52% from 1,950,000 to 930,000 shares; amphenol corp by 43% from 2,800,000 to 1,600,000 shares']"
TSM,2024-11-19,"[""(tsm) - analyzing taiwan semiconductor's short interest""]"
TSM,2024-11-21,['smart money is betting big in tsm options']
TSM,2024-11-27,['market whales and their recent bets on tsm options']
TSM,2024-12-05,"[""reuters reported earlier taiwan semiconductor is in talks with nvidia to produce its blackwell artificial intelligence chips tsm's arizona plant""]"
TSM,2024-12-17,['check out what whales are doing with tsm']
TSM,2025-01-21,"[""apple's iphone dependence remains, but services, wearables offer growth potential: analyst""]"
TSM,2025-01-24,"[""dan loeb's third point capitalizes on tsm's ai expansion""]"
TSM,2025-01-31,"[""tim cook won't say how apple plans to handle trump's tariff policies — but here's what's at stake for the iphone maker""]"
TSM,2025-02-06,"[""apple's m5 chip enters mass production, set to power upcoming macbook pro, ipad pro and vision pro: report""]"
TSM,2025-02-18,"[""apple's iphone se 4 to feature tsmc's in 5g modem, but it may lag behind qualcomm's snapdragon x75""]"
TSM,2025-02-23,"['consumer tech news (feb 17 21): mexico warns alphabet over naming of the ""gulf of mexico"" on maps, apple launches iphone 16e & more']"
